triad,polymorphism,backtracked,indicator_time,ac_time,search_time
0111|1011|000,y,0,6.268674ms,43.023699ms,212.74361ms
01000|0111|00,y,0,2.116191ms,15.80215ms,174.668935ms
001000|0111|1,y,0,1.957163ms,14.97942ms,178.931208ms
01000|1111|00,y,0,1.963238ms,16.147375ms,197.19261ms
0111011|000|1,y,0,1.999906ms,15.743483ms,191.034145ms
01010000|00|1,y,0,2.035734ms,13.859095ms,214.486569ms
0101000|11|00,y,0,2.040832ms,13.880257ms,177.423824ms
0100000|11|00,y,0,1.982305ms,15.69627ms,190.538272ms
000000|0111|1,y,0,4.414808ms,19.217459ms,219.424767ms
01111|01000|1,y,0,5.243194ms,37.714922ms,216.30328ms
01000|1011|00,y,0,1.996623ms,15.307255ms,197.12193ms
010000|0111|1,y,0,1.967988ms,16.715114ms,187.020017ms
01111|00100|1,y,0,1.966591ms,15.843844ms,194.384012ms
00100|01000|1,y,0,5.568167ms,37.009037ms,229.168674ms
10000|0111|00,y,0,2.054242ms,15.18175ms,242.887109ms
01011011|00|1,y,0,2.017505ms,13.521273ms,180.695539ms
010111|0100|1,y,0,1.965823ms,14.356784ms,181.214321ms
01111011|00|1,y,0,1.998858ms,14.810753ms,203.902262ms
001111|0000|1,y,0,2.11682ms,15.338753ms,230.302967ms
0110111|000|1,y,0,1.970781ms,16.198638ms,192.886546ms
011000|0111|1,y,0,2.114864ms,13.350651ms,232.433894ms
0111011|11|00,y,0,2.048794ms,14.011628ms,201.303468ms
001000|000|11,y,0,2.045512ms,14.986194ms,198.041461ms
01000000|00|1,y,0,5.022705ms,41.225844ms,232.475379ms
010111|011|00,y,0,2.031334ms,14.190562ms,182.929134ms
01111|1011|00,y,0,2.086649ms,15.149692ms,200.383589ms
0101111|11|00,y,0,2.108159ms,17.106505ms,207.203451ms
0111111|000|1,y,0,2.065835ms,16.134943ms,203.976713ms
011111|000|11,y,0,2.030426ms,16.798296ms,204.163888ms
011011|0000|1,y,0,1.979093ms,14.316416ms,191.654126ms
01000100|00|1,y,0,2.069537ms,13.722276ms,188.739719ms
0111111|11|00,y,0,1.986076ms,15.70521ms,219.698126ms
0100100|11|00,y,0,2.012197ms,13.640771ms,181.586016ms
01101011|00|1,y,0,2.02428ms,13.15712ms,177.76018ms
010111|0000|1,y,0,2.041391ms,15.16834ms,186.495299ms
0110000|11|00,y,0,2.037969ms,15.082715ms,212.160924ms
011111|0100|1,y,0,1.969664ms,15.301946ms,192.785834ms
01101111|00|1,y,0,1.969245ms,15.272892ms,183.931007ms
01011111|00|1,y,0,2.032521ms,15.697108ms,194.016089ms
01111111|00|1,y,0,2.039715ms,16.799832ms,216.052621ms
010100|0111|1,y,0,1.998159ms,12.772156ms,180.372174ms
01111|0100|11,y,0,2.050191ms,14.636988ms,200.610293ms
0011111|000|1,y,0,1.983353ms,15.789927ms,221.154107ms
0110111|11|00,y,0,2.012756ms,14.520562ms,193.415943ms
01110111|00|1,y,0,2.040204ms,14.554016ms,185.102595ms
011111|0000|1,y,0,2.02854ms,15.691731ms,191.953396ms
01001000|00|1,y,0,2.084693ms,14.540607ms,179.820079ms
000100|0111|1,y,0,1.983004ms,15.614766ms,192.458557ms
0101111|000|1,y,0,1.97148ms,15.755356ms,182.344632ms
01010111|00|1,y,0,2.026235ms,13.316149ms,179.288377ms
011011|0100|1,y,0,2.027213ms,12.888091ms,178.045621ms
0100000|000|1,y,0,2.453036ms,20.939326ms,245.264925ms
011111|111|00,y,0,3.973061ms,47.786316ms,245.115884ms
010000|011|00,y,0,5.001056ms,44.001337ms,202.109855ms
00111|011|000,y,0,3.466573ms,14.201597ms,241.562499ms
0010000|000|1,y,0,4.969627ms,43.420956ms,219.849192ms
10111|0111|00,y,0,4.630337ms,21.038221ms,215.151528ms
01111|00000|1,y,0,4.332674ms,16.599737ms,196.577308ms
01100111|00|1,y,0,5.769659ms,40.775577ms,239.240696ms
010000|111|00,y,0,3.368166ms,14.720797ms,187.927395ms
010000|000|11,y,0,5.364998ms,44.237191ms,218.950894ms
01111|0000|11,y,0,7.016115ms,50.535059ms,228.377093ms
