triad,polymorphism,backtracked,indicator_time,ac_time,search_time
010000_11_00,y,0,5.298579ms,23.748202ms,233.749843ms
0101000_00_1,y,0,4.952027ms,22.108119ms,234.500497ms
01111_0000_1,y,0,3.054508ms,22.387624ms,235.76686ms
0100100_00_1,y,0,3.289175ms,16.337623ms,207.971914ms
011011_000_1,y,0,2.806153ms,20.424944ms,218.2133ms
01111_0100_1,y,0,2.842541ms,17.111115ms,209.660467ms
0111011_00_1,y,0,2.866007ms,18.316366ms,210.287292ms
0101111_00_1,y,0,2.692661ms,18.040214ms,214.804417ms
011111_000_1,y,0,2.848407ms,20.245802ms,219.90772ms
0111111_00_1,y,0,2.75482ms,21.805008ms,232.813621ms
0110111_00_1,y,0,2.840864ms,17.223071ms,203.05816ms
001111_000_1,y,0,2.842191ms,19.404284ms,243.724296ms
01000_0111_1,y,0,2.732052ms,16.937001ms,197.231861ms
01000_011_00,y,0,4.218205ms,36.161932ms,202.004744ms
011111_11_00,y,0,2.782826ms,20.773941ms,260.397437ms
010111_000_1,y,0,4.477106ms,31.130496ms,222.743136ms
010000_000_1,y,0,5.114547ms,22.906056ms,246.549725ms
001000_000_1,y,0,5.368281ms,32.14103ms,232.364192ms
0100000_00_1,y,0,5.340483ms,34.389989ms,237.246657ms
00100_0111_1,y,0,3.792591ms,26.491638ms,228.961106ms
0111_1011_00,y,0,5.342579ms,18.633097ms,226.007029ms
01000_111_00,y,0,5.206808ms,33.145557ms,234.356136ms
00000_0111_1,y,0,6.222998ms,21.194805ms,225.84842ms
01111_000_11,y,0,4.378909ms,18.82963ms,222.977523ms
