triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0111_1011_000,y,0,6.383284ms,41.362942ms,275.372526ms,323.118752ms
010000_0111_1,y,0,2.611296ms,18.938023ms,217.612735ms,239.162054ms
01111_00100_1,y,0,2.34101ms,17.517731ms,208.108732ms,227.967473ms
000000_0111_1,y,0,2.145384ms,17.542804ms,221.416361ms,241.104549ms
01011011_00_1,y,0,2.005563ms,12.094276ms,176.399602ms,190.499441ms
010111_0100_1,y,0,2.018762ms,12.793806ms,174.805265ms,189.617833ms
01111011_00_1,y,0,1.935302ms,13.92314ms,193.077142ms,208.935584ms
001111_0000_1,y,0,2.05068ms,15.460067ms,212.702334ms,230.213081ms
01000_1011_00,y,0,1.931251ms,14.436683ms,181.154047ms,197.521981ms
0110111_000_1,y,0,2.013525ms,15.216531ms,175.401709ms,192.631765ms
011000_0111_1,y,0,1.954578ms,13.740505ms,222.625594ms,238.320677ms
0111011_11_00,y,0,1.988451ms,13.350651ms,196.557543ms,211.896645ms
001000_000_11,y,0,2.04586ms,14.370892ms,190.975548ms,207.3923ms
10111_0111_00,y,0,1.997949ms,13.781432ms,190.364995ms,206.144376ms
01001000_00_1,y,0,2.039086ms,14.901686ms,176.923272ms,193.864044ms
010000_000_11,y,0,2.026375ms,14.974112ms,195.412565ms,212.413052ms
0110000_11_00,y,0,2.053404ms,16.332315ms,207.301159ms,225.686878ms
0100100_11_00,y,0,1.929016ms,13.606409ms,180.067177ms,195.602602ms
01101011_00_1,y,0,2.010311ms,12.798835ms,175.216071ms,190.025217ms
010111_0000_1,y,0,1.940331ms,14.001781ms,182.988918ms,198.93103ms
010111_011_00,y,0,2.03322ms,13.685819ms,176.112066ms,191.831105ms
01111_1011_00,y,0,1.934255ms,14.00695ms,191.786336ms,207.727541ms
0101111_11_00,y,0,2.005004ms,14.629235ms,197.684852ms,214.319091ms
0111111_000_1,y,0,2.025397ms,15.674131ms,195.0452ms,212.744728ms
011111_000_11,y,0,2.051588ms,16.066639ms,198.413157ms,216.531384ms
011011_0000_1,y,0,2.038457ms,15.321502ms,186.359179ms,203.719138ms
01000100_00_1,y,0,2.110115ms,13.64594ms,183.523273ms,199.279328ms
0111111_11_00,y,0,2.04181ms,16.281959ms,216.431999ms,234.755768ms
01111_00000_1,y,0,2.170737ms,16.736556ms,191.937472ms,210.844765ms
011011_0100_1,y,0,2.007657ms,13.690848ms,173.448947ms,189.147452ms
010100_0111_1,y,0,1.945778ms,14.267038ms,175.258396ms,191.471212ms
01111_0100_11,y,0,1.994807ms,15.01015ms,196.300318ms,213.305275ms
0011111_000_1,y,0,1.96722ms,16.04827ms,217.292094ms,235.307584ms
0110111_11_00,y,0,2.027772ms,14.353921ms,189.946367ms,206.32806ms
000100_0111_1,y,0,2.00668ms,13.543483ms,192.814818ms,208.364981ms
0101111_000_1,y,0,2.025676ms,15.174276ms,178.435405ms,195.635357ms
01010000_00_1,y,0,2.011429ms,13.984879ms,180.780117ms,196.776425ms
0101000_11_00,y,0,2.0328ms,13.966581ms,175.635329ms,191.63471ms
01000_1111_00,y,0,2.207822ms,15.389946ms,192.867409ms,210.465177ms
0111011_000_1,y,0,1.949759ms,13.959317ms,184.283915ms,200.192991ms
01000_0111_00,y,0,2.016178ms,13.776193ms,171.565956ms,187.358327ms
001000_0111_1,y,0,2.020438ms,14.822486ms,174.861348ms,191.704272ms
010000_011_00,y,0,2.021416ms,13.911616ms,180.706295ms,196.639327ms
00111_011_000,y,0,1.992502ms,14.054162ms,198.146152ms,214.192816ms
01100111_00_1,y,0,4.911169ms,26.659606ms,208.243317ms,239.814092ms
01010111_00_1,y,0,2.020509ms,13.691407ms,173.926871ms,189.638787ms
01110111_00_1,y,0,2.005702ms,14.343654ms,180.403673ms,196.753029ms
011111_0000_1,y,0,2.030496ms,15.637115ms,191.448234ms,209.115845ms
01011111_00_1,y,0,1.99795ms,15.747464ms,190.025567ms,207.770981ms
01111111_00_1,y,0,2.021696ms,16.417242ms,209.464631ms,227.903569ms
01101111_00_1,y,0,1.923499ms,14.302867ms,180.982867ms,197.209233ms
0100000_000_1,y,0,4.055543ms,42.632867ms,230.29689ms,276.9853ms
011111_111_00,y,0,4.851385ms,48.420126ms,228.786991ms,282.058502ms
00100_01000_1,y,0,2.747206ms,13.877184ms,184.719724ms,201.344114ms
01111_01000_1,y,0,4.228331ms,31.538997ms,177.800618ms,213.567946ms
011111_0100_1,y,0,3.870953ms,14.960772ms,200.425702ms,219.257427ms
01000000_00_1,y,0,4.26828ms,15.836721ms,200.703531ms,220.808532ms
0010000_000_1,y,0,6.031773ms,43.900346ms,213.680321ms,263.61244ms
010000_111_00,y,0,3.348261ms,39.869876ms,211.464886ms,254.683023ms
0100000_11_00,y,0,3.083703ms,40.163838ms,212.966124ms,256.213665ms
01111_0000_11,y,0,4.087042ms,15.981013ms,201.868763ms,221.936818ms
10000_0111_00,y,0,4.807595ms,18.171027ms,215.680227ms,238.658849ms
