triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
01001111_01011000_1010000,n,24,2.620466ms,2.973976ms,8.088851ms,13.683293ms
011000000_01001111_101000,n,24,2.447731ms,2.845275ms,6.745277ms,12.038283ms
001001111_001100000_01000,n,24,2.485907ms,2.624218ms,7.399508ms,12.509633ms
0010011111_0011000_010000,n,24,2.515658ms,2.770494ms,7.516244ms,12.802396ms
010110000_01101000_001111,n,25,2.67955ms,2.957915ms,8.897112ms,14.534577ms
001001111_00110000_010000,n,25,2.487444ms,2.586942ms,8.102191ms,13.176577ms
101000000_01001111_011000,n,24,2.444668ms,2.349151ms,6.699003ms,11.492822ms
0110110000_1001111_010111,n,30,2.620338ms,3.307409ms,11.926017ms,17.853764ms
0110110000_0101111_100111,n,24,2.574343ms,3.297722ms,7.958101ms,13.830166ms
010110000_01001111_101000,n,24,2.675392ms,2.899965ms,8.134815ms,13.710172ms
101000100_01001111_011000,n,24,2.688495ms,2.659168ms,7.512469ms,12.860132ms
101010000_01001111_011000,n,25,2.691551ms,2.813898ms,8.637334ms,14.142783ms
0100111011_1010000_011000,n,25,2.68063ms,3.064432ms,8.653025ms,14.398087ms
0100111011_0110000_101000,n,25,2.68365ms,2.473071ms,8.674153ms,13.830874ms
00101111_01100000_0100111,n,24,2.555584ms,2.437966ms,7.395949ms,12.389499ms
0010011111_00110000_01000,n,24,2.533735ms,2.780689ms,7.415671ms,12.730095ms
011010000_01011000_001111,n,24,2.633957ms,3.49057ms,8.176882ms,14.301409ms
00101111_01001111_0110000,n,24,2.530127ms,2.763666ms,7.47374ms,12.767533ms
010011111_10100000_011000,n,24,2.442809ms,2.646868ms,6.827475ms,11.917152ms
010011111_01100000_101000,n,24,2.41207ms,2.193443ms,6.876254ms,11.481767ms
001001111_0011000_0100000,n,24,2.520211ms,2.57115ms,7.458203ms,12.549564ms
010011111_0110000_1010000,n,24,2.557127ms,2.601433ms,6.877106ms,12.035666ms
001011111_0100111_0110000,n,24,2.544158ms,2.589303ms,7.568508ms,12.701969ms
0101001111_1010000_011000,n,24,2.671039ms,3.10873ms,8.32071ms,14.100479ms
011001111_10110000_010111,n,24,2.559025ms,3.229429ms,8.081689ms,13.870143ms
0101001111_0110000_101000,n,24,2.695208ms,3.178736ms,8.232275ms,14.106219ms
011000100_01001111_101000,n,24,2.662706ms,2.705316ms,7.624642ms,12.992664ms
010011111_0010111_0110000,n,24,2.598016ms,2.834599ms,7.562414ms,12.995029ms
01001111_10100000_0110000,n,24,2.421853ms,2.821794ms,6.965668ms,12.209315ms
01001111_01100000_1010000,n,24,2.506938ms,2.607143ms,6.780839ms,11.89492ms
01001111_01100000_0010111,n,24,2.635437ms,2.492846ms,7.553834ms,12.682117ms
01100111_10110000_0101111,n,24,2.871153ms,3.316086ms,10.839668ms,17.026907ms
0100101111_1010000_011000,n,24,2.668574ms,2.68921ms,7.608232ms,12.966016ms
0100101111_0110000_101000,n,24,2.733062ms,3.096126ms,7.625171ms,13.454359ms
01001111_10101000_0110000,n,24,2.948554ms,3.170611ms,10.851452ms,16.970617ms
0100111111_1010000_011000,n,24,2.517571ms,2.481533ms,6.815458ms,11.814562ms
0100111111_0110000_101000,n,24,2.411494ms,2.323258ms,6.791907ms,11.526659ms
