triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
010111_0100_011,y,0,3.818382ms,20.062649ms,51.768614991s,51.792496022s
01010100_0111_1,y,0,4.823017ms,21.059574ms,51.969520231s,51.995402822s
0101000_0100_11,y,0,4.921965ms,23.28239ms,53.719899275s,53.74810363s
010111011_11_00,y,0,4.717496ms,25.15647ms,56.003796453s,56.033670419s
0101000_00100_1,y,0,4.693778ms,22.425001ms,56.162150554s,56.189269333s
1011011_0111_00,y,0,4.741035ms,25.424258ms,56.165509871s,56.195675164s
0101100111_00_1,y,0,3.554216ms,22.702036ms,56.591645857s,56.617902109s
0100111_01000_1,y,0,4.861103ms,24.130546ms,57.698398881s,57.72739053s
001000_1011_000,y,0,4.863981ms,27.764795ms,58.113204447s,58.145833223s
010000_1011_000,y,0,4.931877ms,29.578401ms,58.501305752s,58.53581603s
1001000_0111_00,y,0,4.921831ms,26.85016ms,58.796241899s,58.82801389s
010000_10111_00,y,0,4.651367ms,30.541837ms,58.839835615s,58.875028819s
0110000_0111_00,y,0,5.099418ms,25.832152ms,59.587626572s,59.618558142s
0100100_1111_00,y,0,4.7687ms,29.09974ms,59.97799065s,60.01185909s
0100000100_00_1,y,0,4.768853ms,29.09679ms,60.090118239s,60.123983882s
0101000000_00_1,y,0,4.80824ms,28.819503ms,60.113098956s,60.146726699s
10000_0111_0100,y,0,4.743905ms,26.657416ms,60.335106026s,60.366507347s
1011000_0111_00,y,0,4.825352ms,25.781624ms,60.334373793s,60.364980769s
0100000_011_000,y,0,5.116842ms,27.820909ms,60.274563805s,60.307501556s
011001111_000_1,y,0,4.863327ms,28.608108ms,61.572520039s,61.605991474s
001000000_000_1,y,0,4.858608ms,34.012573ms,61.513022167s,61.551893348s
010000000_000_1,y,0,4.642565ms,33.485589ms,61.73244207s,61.770570224s
001111_010000_1,y,0,4.83099ms,30.07072ms,61.633716419s,61.668618129s
011000_01111_11,y,0,4.806583ms,26.096988ms,61.69903434s,61.729937911s
01111_1011_0100,y,0,3.439714ms,24.172366ms,19.726248867s,19.753860947s
0110111_1011_00,y,0,3.55224ms,24.043104ms,24.689020552s,24.716615896s
0111011_00100_1,y,0,3.539186ms,25.287132ms,25.469796418s,25.498622736s
011111_10000_00,y,0,3.288079ms,31.845764ms,23.365297144s,23.400430987s
010111_1011_000,y,0,3.417774ms,25.226822ms,22.626674594s,22.65531919s
