triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0111011111_11_00,y,0,785.539µs,3.896µs,2.323µs,791.758µs
0100001000_11_00,y,0,798.309µs,239.708µs,396.174µs,1.434191ms
0000000_01111_11,y,0,737.154µs,432.092µs,1.156836ms,2.326082ms
000100000_0111_1,y,0,780.093µs,410.946µs,1.32362ms,2.514659ms
00111111_0000_11,y,0,767.54µs,481.564µs,1.533747ms,2.782851ms
0100000_11011_00,y,0,802.139µs,384.731µs,1.631206ms,2.818076ms
010000000_0000_1,y,0,751.817µs,527.968µs,1.605317ms,2.885102ms
0100000_10111_00,y,0,813.049µs,443.696µs,1.730762ms,2.987507ms
000000_0111_1011,y,0,777.59µs,487.33µs,1.732512ms,2.997432ms
0001000_001111_1,y,0,794.863µs,477.294µs,1.821624ms,3.093781ms
0100000_1011_000,y,0,796.731µs,613.82µs,1.866969ms,3.27752ms
0001000_011011_1,y,0,835.393µs,538.939µs,1.946993ms,3.321325ms
011100000_0000_1,y,0,771.454µs,576.219µs,2.100124ms,3.447797ms
011101111_0100_1,y,0,852.14µs,514.294µs,2.136118ms,3.502552ms
0111011000_000_1,y,0,839.259µs,575.668µs,2.512775ms,3.927702ms
0110010000_11_00,y,0,795.331µs,141.783µs,419.424µs,1.356538ms
011000_01000_111,y,0,808.116µs,641.682µs,3.028044ms,4.477842ms
011001000_111_00,y,0,791.399µs,718.336µs,3.098574ms,4.608309ms
01011111_0111_00,y,0,824.427µs,696.567µs,3.349704ms,4.870698ms
011100111_0100_1,y,0,883.916µs,623.374µs,3.543415ms,5.050705ms
00110111_00100_1,y,0,842.586µs,644.127µs,3.61509ms,5.101803ms
0101000_011111_1,y,0,833.192µs,748.06µs,3.23729ms,4.818542ms
0100000_0000_111,y,0,731.138µs,446.406µs,1.57382ms,2.751364ms
0101000_011011_1,y,0,965.633µs,665.781µs,4.325125ms,5.956539ms
0010000_0111_000,y,0,802.182µs,475.735µs,2.176748ms,3.454665ms
010110111_0111_1,y,0,940.376µs,768.94µs,4.313885ms,6.023201ms
00100000_00000_1,y,0,743.783µs,568.863µs,1.839573ms,3.152219ms
01000001000_00_1,y,0,795.098µs,528.965µs,1.635167ms,2.95923ms
0100000_01011_00,y,0,907.019µs,907.318µs,4.295222ms,6.109559ms
1000000_0111_000,y,0,756.031µs,565.298µs,1.87065ms,3.191979ms
0100000_0000_011,y,0,786.249µs,567.124µs,2.770945ms,4.124318ms
001000_10111_000,y,0,787.495µs,586.073µs,1.856861ms,3.230429ms
011000_1111_0100,y,0,848.07µs,698.349µs,3.912443ms,5.458862ms
10111111_0111_00,y,0,753.993µs,495.649µs,1.715032ms,2.964674ms
1010111_01000_00,y,0,874.893µs,591.851µs,2.72331ms,4.190054ms
0101000000_11_00,y,0,791.089µs,586.343µs,2.334632ms,3.712064ms
0101111111_11_00,y,0,795.7µs,717.441µs,3.633515ms,5.146656ms
0011111_00100_11,y,0,778.955µs,558.688µs,2.487495ms,3.825138ms
01100111_00000_1,y,0,809.441µs,638.001µs,2.58616ms,4.033602ms
00000000_01111_1,y,0,737.484µs,405.886µs,1.045734ms,2.189104ms
01111111_0100_11,y,0,783.58µs,651.014µs,1.832687ms,3.267281ms
01011111_00100_1,y,0,836.887µs,507.805µs,2.216516ms,3.561208ms
00100000_0000_11,y,0,755.52µs,382.35µs,1.676316ms,2.814186ms
1110111_01000_00,y,0,793.532µs,450.08µs,1.643223ms,2.886835ms
001000100_0000_1,y,0,791.771µs,542.735µs,2.31574ms,3.650246ms
00010000_01111_1,y,0,764.522µs,416.177µs,1.325599ms,2.506298ms
00111111_00000_1,y,0,742.62µs,459.164µs,1.40752ms,2.609304ms
100000_01111_000,y,0,771.582µs,421.397µs,1.87811ms,3.071089ms
000100_010000_11,y,0,794.579µs,494.927µs,2.24931ms,3.538816ms
01001000_01000_1,y,0,894.777µs,750.358µs,3.568116ms,5.213251ms
00001000_00000_1,y,0,754.58µs,554.175µs,1.837294ms,3.146049ms
000000_00111_011,y,0,772.194µs,587.407µs,2.264151ms,3.623752ms
01000000_00000_1,y,0,744.717µs,537.564µs,1.727289ms,3.00957ms
00111_01000_0111,y,0,834.055µs,840.638µs,4.074913ms,5.749606ms
010100000_000_11,y,0,784.054µs,707.049µs,2.505831ms,3.996934ms
01111101011_00_1,y,0,810.959µs,434.702µs,2.025967ms,3.271628ms
010111_101011_00,y,0,963.757µs,682.43µs,4.38088ms,6.027067ms
01000100_1011_00,y,0,879.354µs,421.517µs,2.146224ms,3.447095ms
010000000_0111_1,y,0,775.575µs,538.157µs,1.707428ms,3.02116ms
010011111_000_11,y,0,782.826µs,614.59µs,2.468026ms,3.865442ms
001111011_0000_1,y,0,789.981µs,448.413µs,1.792892ms,3.031286ms
00111111_00100_1,y,0,793.166µs,541.585µs,2.263632ms,3.598383ms
01101001000_00_1,y,0,900.921µs,740.299µs,4.372229ms,6.013449ms
0100111011_000_1,y,0,860.693µs,671.681µs,3.229242ms,4.761616ms
0100000000_11_00,y,0,751.926µs,520.345µs,1.32844ms,2.600711ms
0100010000_11_00,y,0,796.707µs,452.149µs,1.642187ms,2.891043ms
010101111_011_00,y,0,913.168µs,887.925µs,5.564375ms,7.365468ms
0100000100_11_00,y,0,788.297µs,453.323µs,1.623727ms,2.865347ms
001000_01000_111,y,0,806.104µs,431.385µs,2.149474ms,3.386963ms
0111011_010000_1,y,0,825.589µs,495.882µs,2.117111ms,3.438582ms
0100000_011000_1,y,0,813.885µs,694.905µs,3.01326ms,4.52205ms
01010111_01000_1,y,0,906.983µs,921.117µs,5.59676ms,7.42486ms
101111_0111_0000,y,0,752.346µs,471.77µs,1.76066ms,2.984776ms
0111011_1011_000,y,0,851.536µs,427.658µs,2.566989ms,3.846183ms
011111011_0100_1,y,0,813.82µs,595.672µs,2.054036ms,3.463528ms
01110111_0000_11,y,0,766.212µs,412.6µs,1.731071ms,2.909883ms
0010100100_000_1,y,0,878.703µs,627.989µs,3.826869ms,5.333561ms
00100_01000_1011,y,0,871.237µs,600.362µs,2.773405ms,4.245004ms
01000_10000_0111,y,0,821.777µs,637.066µs,3.371654ms,4.830497ms
0000000_011011_1,y,0,770.465µs,461.026µs,1.61921ms,2.850701ms
01111100111_00_1,y,0,793.098µs,428.191µs,1.746874ms,2.968163ms
010000_00111_000,y,0,843.339µs,594.918µs,3.715062ms,5.153319ms
011011000_0000_1,y,0,804.522µs,609.658µs,3.033254ms,4.447434ms
100000_0111_0100,y,0,824.892µs,634.229µs,3.059596ms,4.518717ms
0110111_00000_11,y,0,770.123µs,493.173µs,1.737479ms,3.000775ms
101000_0111_0100,y,0,884.556µs,691.918µs,4.448223ms,6.024697ms
01000000_0111_00,y,0,794.179µs,616.789µs,2.389401ms,3.800369ms
01011101011_00_1,y,0,935.305µs,642.022µs,3.288221ms,4.865548ms
0111011_000000_1,y,0,772.646µs,460.121µs,1.378415ms,2.611182ms
01000101000_00_1,y,0,884.065µs,565.838µs,2.72077ms,4.170673ms
0111011_011000_1,y,0,893.358µs,526.529µs,3.317863ms,4.73775ms
010001000_011_00,y,0,892.804µs,697.139µs,2.874244ms,4.464187ms
010000000_000_11,y,0,746.284µs,412.846µs,1.454514ms,2.613644ms
0110000_0111_000,y,0,823.11µs,535.598µs,3.246039ms,4.604747ms
001110111_0000_1,y,0,785.702µs,447.86µs,2.035954ms,3.269516ms
00110111_01000_1,y,0,843.136µs,679.609µs,4.087467ms,5.610212ms
0101101111_11_00,y,0,879.227µs,597.957µs,2.708752ms,4.185936ms
0110000_10111_00,y,0,794.491µs,605.099µs,2.735983ms,4.135573ms
01111_11011_0100,y,0,818.614µs,622ns,85ns,819.321µs
01111_01000_1000,y,0,785.151µs,656.162µs,3.049128ms,4.490441ms
0010000_0000_111,y,0,756.536µs,539.452µs,1.654956ms,2.950944ms
010011111_0000_1,y,0,772.647µs,486.294µs,2.231656ms,3.490597ms
011000100_0111_1,y,0,884.41µs,589.528µs,3.275722ms,4.74966ms
100111_011011_00,y,0,833.328µs,33.438µs,30.02µs,896.786µs
010000000_011_00,y,0,796.568µs,664.596µs,2.360077ms,3.821241ms
011000_010000_11,y,0,823.959µs,672.386µs,3.021571ms,4.517916ms
01010101000_00_1,y,0,933.218µs,1.112808ms,7.614878ms,9.660904ms
000000000_0111_1,y,0,743.102µs,436.813µs,1.051401ms,2.231316ms
00100_10000_0111,y,0,819.499µs,547.143µs,2.790423ms,4.157065ms
000100111_0111_1,y,0,801.103µs,438.847µs,2.094708ms,3.334658ms
0010000_0000_011,y,0,799.797µs,504.872µs,2.318555ms,3.623224ms
0010100_011111_1,y,0,855.969µs,485.186µs,2.219076ms,3.560231ms
00111011_011_000,y,0,843.191µs,548.818µs,3.2606ms,4.652609ms
011000000_0111_1,y,0,801.813µs,590.24µs,2.6032ms,3.995253ms
011000_0111_0100,y,0,901.355µs,822.376µs,5.221587ms,6.945318ms
01110111011_00_1,y,0,827.126µs,454.856µs,1.698559ms,2.980541ms
01000000_1111_00,y,0,752.903µs,419.507µs,1.31671ms,2.48912ms
