triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
01010111_0101000_00,y,0,20.44324ms,160.639106ms,149.546971697s,149.728054043s
010010001000_111_00,y,0,22.686823ms,217.284789ms,169.789724981s,170.029696593s
01011011_00110000_1,y,0,28.307371ms,188.794596ms,171.665604261s,171.882706228s
0100110111_1011_000,y,0,20.188961ms,189.818397ms,172.050218313s,172.260225671s
000101000_0010000_1,y,0,22.645548ms,196.905343ms,172.700189797s,172.919740688s
00100000_10111_0111,y,0,23.876525ms,236.810897ms,173.179304051s,173.439991473s
0100100000_01111_11,y,0,24.143469ms,235.197923ms,174.852622693s,175.111964085s
100100100_011111_00,y,0,22.300565ms,197.770916ms,176.27612385s,176.496195331s
10111111_0100000_00,y,0,28.009279ms,247.776693ms,176.661707259s,176.937493231s
00110000_001000_011,y,0,22.926327ms,197.203557ms,179.750726781s,179.970856665s
001011000_01000_111,y,0,22.444692ms,188.01301ms,181.731407846s,181.941865548s
00100111_0100000_11,y,0,23.980363ms,205.447252ms,183.361231854s,183.590659469s
010111111_111011_00,y,0,24.018968ms,221.912471ms,184.667719695s,184.913651134s
1011000_0010000_000,y,0,24.600458ms,218.913296ms,185.910037202s,186.153550956s
01100000000_0111_00,y,0,28.288202ms,231.562742ms,187.803752367s,188.063603311s
1001110111_01111_00,y,0,24.043478ms,198.418142ms,188.283189909s,188.505651529s
01110001000_01111_1,y,0,24.024157ms,203.238158ms,190.691439964s,190.918702279s
01001100000_111_000,y,0,27.424099ms,221.030671ms,190.775748882s,191.024203652s
01000000100_00000_1,y,0,27.18808ms,227.527459ms,191.912097857s,192.166813396s
0011000000_1011_000,y,0,27.242284ms,219.232112ms,195.651579778s,195.898054174s
01000000_100111_000,y,0,27.585022ms,235.391172ms,200.697094989s,200.960071183s
1000000000_0111_000,y,0,31.641454ms,246.641996ms,202.483972334s,202.762255784s
01110000000_111_000,y,0,31.482524ms,235.800376ms,206.757809447s,207.025092347s
10000000_001111_000,y,0,36.080784ms,237.525856ms,209.57679623s,209.85040287s
0101110111111_000_1,y,0,7.676311ms,145.862226ms,173.571549491s,173.725088028s
0010010100_0111_000,y,0,8.1684ms,113.40756ms,163.673925033s,163.795500993s
01001001000_011_000,y,0,8.301766ms,107.429391ms,164.392315139s,164.508046296s
0101010111_10111_00,y,0,7.389112ms,97.121135ms,159.302571517s,159.407081764s
0001000_00111_01011,y,0,8.266688ms,112.40462ms,171.729133624s,171.849804932s
1001000_011000_0100,y,0,7.408849ms,102.444515ms,175.711530568s,175.821383932s
0010001001000_000_1,y,0,7.71914ms,132.728691ms,173.648877327s,173.789325158s
00100110000_01000_1,y,0,7.735669ms,115.919344ms,183.048102854s,183.171757867s
0101000000_10000_00,y,0,8.019861ms,123.228542ms,187.640330463s,187.771578866s
011101111_0100111_1,y,0,7.787985ms,122.901518ms,179.980172934s,180.110862437s
00111111_000000_011,y,0,8.961032ms,151.384332ms,192.171274481s,192.331619845s
010000000_01111_000,y,0,8.13112ms,147.83843ms,180.476051361s,180.632020911s
01000000_011011_000,y,0,8.03818ms,128.077156ms,175.728578295s,175.864693631s
011100010000_111_00,y,0,7.882515ms,135.887904ms,193.716816477s,193.860586896s
00100000_00000_0111,y,0,8.132457ms,144.06142ms,184.371611756s,184.523805633s
00011111011_00000_1,y,0,7.765324ms,141.178923ms,202.881030098s,203.029974345s
0001000_001111_0000,y,0,8.427544ms,129.222472ms,195.032983439s,195.170633455s
011010000000_0111_1,y,0,7.568273ms,115.978219ms,192.428094303s,192.551640795s
0010110000000_000_1,y,0,7.778816ms,129.111641ms,198.629139721s,198.766030178s
00000000_00111_0111,y,0,8.01516ms,148.734542ms,192.618641452s,192.775391154s
